State,Crop,Calendar,Metric,Value,Metric Main Category,UOM
All India,Lentil,Jun - 2024,Mandi Modal Price (AgMarknet),6192.99,Prices,Rs/Qtl
All India,Lentil,Jul - 2024,Mandi Arrival Quantity (AgMarknet),51938.72,Arrivals,Tonnes
All India,Lentil,Jul - 2024,Mandi Modal Price (AgMarknet),6437.79,Prices,Rs/Qtl
All India,Lentil,Aug - 2024,Mandi Modal Price (AgMarknet),6544.86,Prices,Rs/Qtl
All India,Lentil,Aug - 2024,Mandi Arrival Quantity (AgMarknet),32444.06,Arrivals,Tonnes
All India,Lentil,Sep - 2024,Mandi Arrival Quantity (AgMarknet),32045.48,Arrivals,Tonnes
All India,Lentil,Sep - 2024,Mandi Modal Price (AgMarknet),6259.31,Prices,Rs/Qtl
All India,Lentil,Oct - 2024,Mandi Arrival Quantity (AgMarknet),30120.95,Arrivals,Tonnes
All India,Lentil,Oct - 2024,Mandi Modal Price (AgMarknet),6241.15,Prices,Rs/Qtl
All India,Lentil,Nov - 2024,Mandi Modal Price (AgMarknet),6132.38,Prices,Rs/Qtl
All India,Lentil,Nov - 2024,Mandi Arrival Quantity (AgMarknet),30010.23,Arrivals,Tonnes
All India,Lentil,Dec - 2024,Mandi Modal Price (AgMarknet),6241.62,Prices,Rs/Qtl
All India,Lentil,Dec - 2024,Mandi Arrival Quantity (AgMarknet),27511.89,Arrivals,Tonnes
All India,Lentil,Jan - 2025,Mandi Modal Price (AgMarknet),6377.55,Prices,Rs/Qtl
All India,Lentil,Jan - 2025,Mandi Arrival Quantity (AgMarknet),22540.78,Arrivals,Tonnes
All India,Lentil,Feb - 2025,Mandi Modal Price (AgMarknet),6042.42,Prices,Rs/Qtl
All India,Lentil,Feb - 2025,Mandi Arrival Quantity (AgMarknet),54311.66,Arrivals,Tonnes
All India,Lentil,Mar - 2025,Mandi Arrival Quantity (AgMarknet),107059.08,Arrivals,Tonnes
All India,Lentil,Mar - 2025,Mandi Modal Price (AgMarknet),6031.1,Prices,Rs/Qtl
All India,Lentil,Apr - 2025,Mandi Modal Price (AgMarknet),6335.33,Prices,Rs/Qtl
All India,Lentil,Apr - 2025,Mandi Arrival Quantity (AgMarknet),77888.31,Arrivals,Tonnes
All India,Lentil,May - 2025,Mandi Arrival Quantity (AgMarknet),65441.76,Arrivals,Tonnes
All India,Lentil,May - 2025,Mandi Modal Price (AgMarknet),6451.19,Prices,Rs/Qtl
All India,Lentil,Jun - 2025,Mandi Arrival Quantity (AgMarknet),47607.73,Arrivals,Tonnes
All India,Lentil,Jun - 2025,Mandi Modal Price (AgMarknet),6485.71,Prices,Rs/Qtl
All India,Lentil,Jul - 2025,Mandi Modal Price (AgMarknet),6757.83,Prices,Rs/Qtl
All India,Lentil,Jul - 2025,Mandi Arrival Quantity (AgMarknet),35533.78,Arrivals,Tonnes
All India,Lentil,Aug - 2025,Mandi Modal Price (AgMarknet),6963.87,Prices,Rs/Qtl
All India,Lentil,Aug - 2025,Mandi Arrival Quantity (AgMarknet),23412.06,Arrivals,Tonnes
All India,Lentil,Sep - 2025,Mandi Arrival Quantity (AgMarknet),20512.74,Arrivals,Tonnes
All India,Lentil,Sep - 2025,Mandi Modal Price (AgMarknet),6857.21,Prices,Rs/Qtl
All India,Lentil,Oct - 2025,Mandi Arrival Quantity (AgMarknet),17867.93,Arrivals,Tonnes
All India,Lentil,Oct - 2025,Mandi Modal Price (AgMarknet),6803.94,Prices,Rs/Qtl
All India,Lentil,Nov - 2025,Mandi Modal Price (AgMarknet),6888.57,Prices,Rs/Qtl
All India,Lentil,Nov - 2025,Mandi Arrival Quantity (AgMarknet),2286.64,Arrivals,Tonnes
