State,Crop,Calendar,Metric,Value,Metric Main Category,UOM
All India,Bajra,Jun - 2024,Mandi Modal Price (AgMarknet),2213.38,Prices,Rs/Qtl
All India,Bajra,Jul - 2024,Mandi Arrival Quantity (AgMarknet),165576.97,Arrivals,Tonnes
All India,Bajra,Jul - 2024,Mandi Modal Price (AgMarknet),2193.71,Prices,Rs/Qtl
All India,Bajra,Aug - 2024,Mandi Modal Price (AgMarknet),2356.14,Prices,Rs/Qtl
All India,Bajra,Aug - 2024,Mandi Arrival Quantity (AgMarknet),76398.4,Arrivals,Tonnes
All India,Bajra,Sep - 2024,Mandi Arrival Quantity (AgMarknet),116660.79,Arrivals,Tonnes
All India,Bajra,Sep - 2024,Mandi Modal Price (AgMarknet),2318.78,Prices,Rs/Qtl
All India,Bajra,Oct - 2024,Mandi Arrival Quantity (AgMarknet),385163.24,Arrivals,Tonnes
All India,Bajra,Oct - 2024,Mandi Modal Price (AgMarknet),2493.4,Prices,Rs/Qtl
All India,Bajra,Nov - 2024,Mandi Modal Price (AgMarknet),2519.47,Prices,Rs/Qtl
All India,Bajra,Nov - 2024,Mandi Arrival Quantity (AgMarknet),137099.08,Arrivals,Tonnes
All India,Bajra,Dec - 2024,Mandi Modal Price (AgMarknet),2565.68,Prices,Rs/Qtl
All India,Bajra,Dec - 2024,Mandi Arrival Quantity (AgMarknet),87871.86,Arrivals,Tonnes
All India,Bajra,Jan - 2025,Mandi Modal Price (AgMarknet),2585.93,Prices,Rs/Qtl
All India,Bajra,Jan - 2025,Mandi Arrival Quantity (AgMarknet),83011.74,Arrivals,Tonnes
All India,Bajra,Feb - 2025,Mandi Modal Price (AgMarknet),2520.17,Prices,Rs/Qtl
All India,Bajra,Feb - 2025,Mandi Arrival Quantity (AgMarknet),60145.8,Arrivals,Tonnes
All India,Bajra,Mar - 2025,Mandi Arrival Quantity (AgMarknet),43804.51,Arrivals,Tonnes
All India,Bajra,Mar - 2025,Mandi Modal Price (AgMarknet),2499.06,Prices,Rs/Qtl
All India,Bajra,Apr - 2025,Mandi Modal Price (AgMarknet),2430.1,Prices,Rs/Qtl
All India,Bajra,Apr - 2025,Mandi Arrival Quantity (AgMarknet),38410.65,Arrivals,Tonnes
All India,Bajra,May - 2025,Mandi Arrival Quantity (AgMarknet),41960.68,Arrivals,Tonnes
All India,Bajra,May - 2025,Mandi Modal Price (AgMarknet),2425.82,Prices,Rs/Qtl
All India,Bajra,Jun - 2025,Mandi Arrival Quantity (AgMarknet),86254.29,Arrivals,Tonnes
All India,Bajra,Jun - 2025,Mandi Modal Price (AgMarknet),2344.03,Prices,Rs/Qtl
All India,Bajra,Jul - 2025,Mandi Modal Price (AgMarknet),2247.81,Prices,Rs/Qtl
All India,Bajra,Jul - 2025,Mandi Arrival Quantity (AgMarknet),104882.46,Arrivals,Tonnes
All India,Bajra,Aug - 2025,Mandi Modal Price (AgMarknet),2354.59,Prices,Rs/Qtl
All India,Bajra,Aug - 2025,Mandi Arrival Quantity (AgMarknet),45216.77,Arrivals,Tonnes
All India,Bajra,Sep - 2025,Mandi Arrival Quantity (AgMarknet),137703.51,Arrivals,Tonnes
All India,Bajra,Sep - 2025,Mandi Modal Price (AgMarknet),2253.55,Prices,Rs/Qtl
All India,Bajra,Oct - 2025,Mandi Arrival Quantity (AgMarknet),303288.11,Arrivals,Tonnes
All India,Bajra,Oct - 2025,Mandi Modal Price (AgMarknet),2152.43,Prices,Rs/Qtl
All India,Bajra,Nov - 2025,Mandi Modal Price (AgMarknet),2256.12,Prices,Rs/Qtl
All India,Bajra,Nov - 2025,Mandi Arrival Quantity (AgMarknet),22120.43,Arrivals,Tonnes
