State,Crop,Calendar,Metric,Value,Metric Main Category,UOM
All India,Peas,Jul - 2024,Mandi Arrival Quantity (AgMarknet),10661.4,Arrivals,Tonnes
All India,Peas,Jul - 2024,Mandi Modal Price (AgMarknet),4250.11,Prices,Rs/Qtl
All India,Peas,Aug - 2024,Mandi Modal Price (AgMarknet),4367.33,Prices,Rs/Qtl
All India,Peas,Aug - 2024,Mandi Arrival Quantity (AgMarknet),9962.7,Arrivals,Tonnes
All India,Peas,Sep - 2024,Mandi Arrival Quantity (AgMarknet),8508.9,Arrivals,Tonnes
All India,Peas,Sep - 2024,Mandi Modal Price (AgMarknet),4423.93,Prices,Rs/Qtl
All India,Peas,Oct - 2024,Mandi Arrival Quantity (AgMarknet),5650.9,Arrivals,Tonnes
All India,Peas,Oct - 2024,Mandi Modal Price (AgMarknet),4390.06,Prices,Rs/Qtl
All India,Peas,Nov - 2024,Mandi Modal Price (AgMarknet),4378.28,Prices,Rs/Qtl
All India,Peas,Nov - 2024,Mandi Arrival Quantity (AgMarknet),5541.9,Arrivals,Tonnes
All India,Peas,Dec - 2024,Mandi Modal Price (AgMarknet),3991.15,Prices,Rs/Qtl
All India,Peas,Dec - 2024,Mandi Arrival Quantity (AgMarknet),12502.8,Arrivals,Tonnes
All India,Peas,Jan - 2025,Mandi Modal Price (AgMarknet),4034.66,Prices,Rs/Qtl
All India,Peas,Jan - 2025,Mandi Arrival Quantity (AgMarknet),12107.5,Arrivals,Tonnes
All India,Peas,Feb - 2025,Mandi Modal Price (AgMarknet),3905.27,Prices,Rs/Qtl
All India,Peas,Feb - 2025,Mandi Arrival Quantity (AgMarknet),27137.74,Arrivals,Tonnes
All India,Peas,Mar - 2025,Mandi Arrival Quantity (AgMarknet),31646.04,Arrivals,Tonnes
All India,Peas,Mar - 2025,Mandi Modal Price (AgMarknet),3704.41,Prices,Rs/Qtl
All India,Peas,Apr - 2025,Mandi Modal Price (AgMarknet),3656.74,Prices,Rs/Qtl
All India,Peas,Apr - 2025,Mandi Arrival Quantity (AgMarknet),92979.48,Arrivals,Tonnes
All India,Peas,May - 2025,Mandi Arrival Quantity (AgMarknet),122049.22,Arrivals,Tonnes
All India,Peas,May - 2025,Mandi Modal Price (AgMarknet),3621.22,Prices,Rs/Qtl
All India,Peas,Jun - 2025,Mandi Arrival Quantity (AgMarknet),37583.1,Arrivals,Tonnes
All India,Peas,Jun - 2025,Mandi Modal Price (AgMarknet),3657.71,Prices,Rs/Qtl
All India,Peas,Jul - 2025,Mandi Modal Price (AgMarknet),3842.63,Prices,Rs/Qtl
All India,Peas,Jul - 2025,Mandi Arrival Quantity (AgMarknet),21311.2,Arrivals,Tonnes
All India,Peas,Aug - 2025,Mandi Modal Price (AgMarknet),4000.82,Prices,Rs/Qtl
All India,Peas,Aug - 2025,Mandi Arrival Quantity (AgMarknet),14375.1,Arrivals,Tonnes
All India,Peas,Sep - 2025,Mandi Arrival Quantity (AgMarknet),14987.92,Arrivals,Tonnes
All India,Peas,Sep - 2025,Mandi Modal Price (AgMarknet),4002.39,Prices,Rs/Qtl
All India,Peas,Oct - 2025,Mandi Arrival Quantity (AgMarknet),12191.93,Arrivals,Tonnes
All India,Peas,Oct - 2025,Mandi Modal Price (AgMarknet),3914.64,Prices,Rs/Qtl
All India,Peas,Nov - 2025,Mandi Modal Price (AgMarknet),3962.22,Prices,Rs/Qtl
All India,Peas,Nov - 2025,Mandi Arrival Quantity (AgMarknet),1650.7,Arrivals,Tonnes
