State,Crop,Calendar,Metric,Value,Metric Main Category,UOM
All India,Masur/Lentil (Dal/Split),Jan - 2024,Mandi Modal Price (AgMarknet),8760.91,Prices,Rs/Qtl
All India,Masur/Lentil (Dal/Split),Jan - 2024,Mandi Arrival Quantity (AgMarknet),6426.15,Arrivals,Tonnes
All India,Masur/Lentil (Dal/Split),Feb - 2024,Mandi Arrival Quantity (AgMarknet),7431.8,Arrivals,Tonnes
All India,Masur/Lentil (Dal/Split),Feb - 2024,Mandi Modal Price (AgMarknet),8623.72,Prices,Rs/Qtl
All India,Masur/Lentil (Dal/Split),Mar - 2024,Mandi Arrival Quantity (AgMarknet),7494.35,Arrivals,Tonnes
All India,Masur/Lentil (Dal/Split),Mar - 2024,Mandi Modal Price (AgMarknet),8735.7,Prices,Rs/Qtl
All India,Masur/Lentil (Dal/Split),Apr - 2024,Mandi Arrival Quantity (AgMarknet),5470.8,Arrivals,Tonnes
All India,Masur/Lentil (Dal/Split),Apr - 2024,Mandi Modal Price (AgMarknet),9201.51,Prices,Rs/Qtl
All India,Masur/Lentil (Dal/Split),May - 2024,Mandi Arrival Quantity (AgMarknet),6459.6,Arrivals,Tonnes
All India,Masur/Lentil (Dal/Split),May - 2024,Mandi Modal Price (AgMarknet),9268.75,Prices,Rs/Qtl
All India,Masur/Lentil (Dal/Split),Jun - 2024,Mandi Arrival Quantity (AgMarknet),6802.75,Arrivals,Tonnes
All India,Masur/Lentil (Dal/Split),Jun - 2024,Mandi Modal Price (AgMarknet),8877.21,Prices,Rs/Qtl
All India,Masur/Lentil (Dal/Split),Jul - 2024,Mandi Arrival Quantity (AgMarknet),7920.27,Arrivals,Tonnes
All India,Masur/Lentil (Dal/Split),Jul - 2024,Mandi Modal Price (AgMarknet),8865.65,Prices,Rs/Qtl
All India,Masur/Lentil (Dal/Split),Aug - 2024,Mandi Modal Price (AgMarknet),8916.99,Prices,Rs/Qtl
All India,Masur/Lentil (Dal/Split),Aug - 2024,Mandi Arrival Quantity (AgMarknet),8528.24,Arrivals,Tonnes
All India,Masur/Lentil (Dal/Split),Sep - 2024,Mandi Arrival Quantity (AgMarknet),9880.16,Arrivals,Tonnes
All India,Masur/Lentil (Dal/Split),Sep - 2024,Mandi Modal Price (AgMarknet),8738.04,Prices,Rs/Qtl
All India,Masur/Lentil (Dal/Split),Oct - 2024,Mandi Arrival Quantity (AgMarknet),7021.76,Arrivals,Tonnes
All India,Masur/Lentil (Dal/Split),Oct - 2024,Mandi Modal Price (AgMarknet),8677.05,Prices,Rs/Qtl
All India,Masur/Lentil (Dal/Split),Nov - 2024,Mandi Modal Price (AgMarknet),8440.75,Prices,Rs/Qtl
All India,Masur/Lentil (Dal/Split),Nov - 2024,Mandi Arrival Quantity (AgMarknet),7175.57,Arrivals,Tonnes
All India,Masur/Lentil (Dal/Split),Dec - 2024,Mandi Modal Price (AgMarknet),8448.32,Prices,Rs/Qtl
All India,Masur/Lentil (Dal/Split),Dec - 2024,Mandi Arrival Quantity (AgMarknet),7774.28,Arrivals,Tonnes
All India,Masur/Lentil (Dal/Split),Jan - 2025,Mandi Modal Price (AgMarknet),8576.48,Prices,Rs/Qtl
All India,Masur/Lentil (Dal/Split),Jan - 2025,Mandi Arrival Quantity (AgMarknet),6831.86,Arrivals,Tonnes
All India,Masur/Lentil (Dal/Split),Feb - 2025,Mandi Modal Price (AgMarknet),8595.31,Prices,Rs/Qtl
All India,Masur/Lentil (Dal/Split),Feb - 2025,Mandi Arrival Quantity (AgMarknet),6883.71,Arrivals,Tonnes
All India,Masur/Lentil (Dal/Split),Mar - 2025,Mandi Arrival Quantity (AgMarknet),8175.94,Arrivals,Tonnes
All India,Masur/Lentil (Dal/Split),Mar - 2025,Mandi Modal Price (AgMarknet),8463.8,Prices,Rs/Qtl
All India,Masur/Lentil (Dal/Split),Apr - 2025,Mandi Modal Price (AgMarknet),8478.02,Prices,Rs/Qtl
All India,Masur/Lentil (Dal/Split),Apr - 2025,Mandi Arrival Quantity (AgMarknet),8054.03,Arrivals,Tonnes
All India,Masur/Lentil (Dal/Split),May - 2025,Mandi Arrival Quantity (AgMarknet),11055.13,Arrivals,Tonnes
All India,Masur/Lentil (Dal/Split),May - 2025,Mandi Modal Price (AgMarknet),8210.47,Prices,Rs/Qtl
All India,Masur/Lentil (Dal/Split),Jun - 2025,Mandi Arrival Quantity (AgMarknet),9143.95,Arrivals,Tonnes
All India,Masur/Lentil (Dal/Split),Jun - 2025,Mandi Modal Price (AgMarknet),8300.11,Prices,Rs/Qtl
All India,Masur/Lentil (Dal/Split),Jul - 2025,Mandi Modal Price (AgMarknet),8420.24,Prices,Rs/Qtl
All India,Masur/Lentil (Dal/Split),Jul - 2025,Mandi Arrival Quantity (AgMarknet),8803.24,Arrivals,Tonnes
All India,Masur/Lentil (Dal/Split),Aug - 2025,Mandi Modal Price (AgMarknet),8754.94,Prices,Rs/Qtl
All India,Masur/Lentil (Dal/Split),Aug - 2025,Mandi Arrival Quantity (AgMarknet),8821.28,Arrivals,Tonnes
All India,Masur/Lentil (Dal/Split),Sep - 2025,Mandi Arrival Quantity (AgMarknet),8185.94,Arrivals,Tonnes
All India,Masur/Lentil (Dal/Split),Sep - 2025,Mandi Modal Price (AgMarknet),8974.09,Prices,Rs/Qtl
All India,Masur/Lentil (Dal/Split),Oct - 2025,Mandi Arrival Quantity (AgMarknet),8368.01,Arrivals,Tonnes
All India,Masur/Lentil (Dal/Split),Oct - 2025,Mandi Modal Price (AgMarknet),9007.19,Prices,Rs/Qtl
All India,Masur/Lentil (Dal/Split),Nov - 2025,Mandi Modal Price (AgMarknet),8835.66,Prices,Rs/Qtl
All India,Masur/Lentil (Dal/Split),Nov - 2025,Mandi Arrival Quantity (AgMarknet),1024.17,Arrivals,Tonnes
