State,Crop,Calendar,Metric,Value,Metric Main Category,UOM
All India,Kulthi,Jun - 2024,Mandi Arrival Quantity (AgMarknet),1687.22,Arrivals,Tonnes
All India,Kulthi,Jun - 2024,Mandi Modal Price (AgMarknet),6433.43,Prices,Rs/Qtl
All India,Kulthi,Jul - 2024,Mandi Arrival Quantity (AgMarknet),924.66,Arrivals,Tonnes
All India,Kulthi,Jul - 2024,Mandi Modal Price (AgMarknet),6352.65,Prices,Rs/Qtl
All India,Kulthi,Aug - 2024,Mandi Modal Price (AgMarknet),6804.65,Prices,Rs/Qtl
All India,Kulthi,Aug - 2024,Mandi Arrival Quantity (AgMarknet),1032.21,Arrivals,Tonnes
All India,Kulthi,Sep - 2024,Mandi Arrival Quantity (AgMarknet),1164.37,Arrivals,Tonnes
All India,Kulthi,Sep - 2024,Mandi Modal Price (AgMarknet),6286.86,Prices,Rs/Qtl
All India,Kulthi,Oct - 2024,Mandi Arrival Quantity (AgMarknet),1363.75,Arrivals,Tonnes
All India,Kulthi,Oct - 2024,Mandi Modal Price (AgMarknet),6209.34,Prices,Rs/Qtl
All India,Kulthi,Nov - 2024,Mandi Modal Price (AgMarknet),5814.56,Prices,Rs/Qtl
All India,Kulthi,Nov - 2024,Mandi Arrival Quantity (AgMarknet),747.44,Arrivals,Tonnes
All India,Kulthi,Dec - 2024,Mandi Modal Price (AgMarknet),5441.22,Prices,Rs/Qtl
All India,Kulthi,Dec - 2024,Mandi Arrival Quantity (AgMarknet),1669.8,Arrivals,Tonnes
All India,Kulthi,Jan - 2025,Mandi Modal Price (AgMarknet),4644.15,Prices,Rs/Qtl
All India,Kulthi,Jan - 2025,Mandi Arrival Quantity (AgMarknet),5475.45,Arrivals,Tonnes
All India,Kulthi,Feb - 2025,Mandi Modal Price (AgMarknet),4598.85,Prices,Rs/Qtl
All India,Kulthi,Feb - 2025,Mandi Arrival Quantity (AgMarknet),3807.88,Arrivals,Tonnes
All India,Kulthi,Mar - 2025,Mandi Arrival Quantity (AgMarknet),13044.75,Arrivals,Tonnes
All India,Kulthi,Mar - 2025,Mandi Modal Price (AgMarknet),4963.12,Prices,Rs/Qtl
All India,Kulthi,Apr - 2025,Mandi Modal Price (AgMarknet),5302.22,Prices,Rs/Qtl
All India,Kulthi,Apr - 2025,Mandi Arrival Quantity (AgMarknet),7658.37,Arrivals,Tonnes
All India,Kulthi,May - 2025,Mandi Arrival Quantity (AgMarknet),1721.0,Arrivals,Tonnes
All India,Kulthi,May - 2025,Mandi Modal Price (AgMarknet),5263.13,Prices,Rs/Qtl
All India,Kulthi,Jun - 2025,Mandi Arrival Quantity (AgMarknet),733.68,Arrivals,Tonnes
All India,Kulthi,Jun - 2025,Mandi Modal Price (AgMarknet),5241.88,Prices,Rs/Qtl
All India,Kulthi,Jul - 2025,Mandi Modal Price (AgMarknet),5008.85,Prices,Rs/Qtl
All India,Kulthi,Jul - 2025,Mandi Arrival Quantity (AgMarknet),1670.52,Arrivals,Tonnes
All India,Kulthi,Aug - 2025,Mandi Modal Price (AgMarknet),5784.66,Prices,Rs/Qtl
All India,Kulthi,Aug - 2025,Mandi Arrival Quantity (AgMarknet),694.64,Arrivals,Tonnes
All India,Kulthi,Sep - 2025,Mandi Arrival Quantity (AgMarknet),1321.13,Arrivals,Tonnes
All India,Kulthi,Sep - 2025,Mandi Modal Price (AgMarknet),4654.58,Prices,Rs/Qtl
All India,Kulthi,Oct - 2025,Mandi Arrival Quantity (AgMarknet),855.09,Arrivals,Tonnes
All India,Kulthi,Oct - 2025,Mandi Modal Price (AgMarknet),4992.91,Prices,Rs/Qtl
All India,Kulthi,Nov - 2025,Mandi Modal Price (AgMarknet),5160.19,Prices,Rs/Qtl
All India,Kulthi,Nov - 2025,Mandi Arrival Quantity (AgMarknet),202.26,Arrivals,Tonnes
